ID,betingelse,item,svar,svartid,maksimalafvigelser
63,7,26,0,3.96,1.26884
63,7,30,1,6.03,0.80548
63,8,20,0,7.57,1.24863
63,8,24,0,3.60,0.06280
63,8,28,0,7.28,0.96859
63,8,32,1,5.30,1.24581
64,1,4,0,4.20,0.06422
64,1,8,1,3.12,0.10817
64,1,12,0,2.45,0.05821
64,1,16,0,1.68,0.86380
64,2,2,1,1.78,-0.04585
64,2,6,1,3.96,1.13944
64,2,10,1,3.95,0.12766
64,2,14,0,1.71,0.14853
64,3,3,1,4.91,0.16326
64,3,7,0,3.82,0.53554
64,3,11,1,3.32,-0.07624
64,3,15,1,3.68,0.04673
64,4,1,0,4.72,0.62967
64,4,5,0,2.00,-0.12309
64,4,9,0,4.54,1.01087
64,4,13,0,2.21,0.07611
64,5,20,1,3.50,0.07809
64,5,24,0,2.42,0.02816
64,5,28,0,3.26,0.10561
64,5,32,1,3.37,0.15074
64,6,18,1,4.32,0.82218
64,6,22,0,4.20,0.41766
64,6,26,0,4.96,0.92681
64,6,30,1,4.62,0.18587
64,7,19,0,1.90,0.07959
64,7,23,0,5.34,0.76227
64,7,27,0,2.65,0.05218
64,7,31,0,2.02,0.05078
64,8,17,0,3.24,0.22219
64,8,21,1,5.85,0.95227
64,8,25,0,3.20,-0.09741
64,8,29,1,2.58,-0.11817
71,1,1,1,2.56,0.40968
71,1,5,1,4.81,1.01139
71,1,9,0,2.06,0.51897
71,1,13,1,2.20,-0.07274
71,2,3,1,2.01,-0.06539
71,2,7,1,2.94,-0.09346
71,2,11,1,2.58,0.76469
71,2,15,1,2.16,-0.30776
71,3,4,1,3.65,0.69599
71,3,8,0,7.80,-0.07583
71,3,12,0,4.21,0.27620
71,3,16,1,6.46,0.62444
71,4,2,1,4.97,0.93458
71,4,6,0,2.74,0.69043
71,4,10,0,6.10,1.03323
71,4,14,1,5.48,0.83466
71,5,17,1,7.07,1.18325
71,5,21,0,5.16,1.12883
71,5,25,0,2.26,0.33023
71,5,29,1,1.74,-0.12826
71,6,19,0,2.40,0.63210
71,6,23,1,2.67,-0.08292
